#,Anime,#1,#2,#3,#4-5,#6-10,#11-20,Points,Classification,Genre
350,SYD,0,1,1,1,4,3,22,Seinen,Other
351,Sword of the Stranger,0,1,0,3,3,3,22,Seinen,Other
352,Watamote,0,1,0,0,5,8,22,Seinen,Slice of Life
353,Kokoro Connect,0,1,0,0,5,8,22,Shonen,Slice of Life
354,Tamayura,0,0,2,2,3,2,22,Seinen,Slice of Life
355,Crest of the Stars,0,0,0,4,2,6,22,Seinen,Other
356,Shiki,0,0,0,3,3,7,22,Seinen,Fantasy / Action
357,SKET Dance,0,0,0,3,3,7,22,Shonen,Slice of Life
358,Kids on the Slope,0,0,0,0,5,12,22,Seinen,Slice of Life
360,His and Her Circumstances,0,2,1,1,1,4,21,Shojo,Slice of Life
